t,n
00:02:55,0
00:07:53,0
00:12:52,0
00:17:51,0
00:22:50,0
00:27:48,0
00:32:47,0
00:37:46,0
00:42:45,0
00:47:43,0
00:52:42,0
00:57:41,0
01:02:40,0
01:07:38,0
01:12:37,0
01:17:36,0
01:22:35,0
01:27:33,0
01:32:32,0
01:37:31,0
01:42:30,0
01:47:28,0
01:52:27,0
01:57:26,0
02:02:25,0
02:07:23,0
02:12:22,0
02:17:21,0
02:22:20,0
02:27:19,0
02:32:17,0
02:37:16,0
02:42:15,0
02:47:13,0
02:52:12,0
02:57:11,0
03:02:10,0
03:07:09,0
03:12:07,0
03:17:06,0
03:22:05,0
03:27:04,0
03:32:02,0
03:37:01,0
03:42:00,0
03:46:59,0
03:51:57,0
03:56:56,0
04:01:55,0
04:06:54,0
04:11:52,0
04:16:51,0
04:21:50,0
04:26:49,0
04:31:47,0
04:36:46,0
04:41:45,0
04:46:44,0
04:51:42,0
04:56:41,0
05:01:40,0
05:06:39,0
05:11:37,0
05:16:36,0
05:21:35,0
05:26:34,0
05:31:32,0
05:36:31,0
05:41:30,0
05:46:29,0
05:51:27,0
05:56:26,0
06:01:25,0
06:06:24,0
06:11:22,0
06:16:21,0
06:21:20,0
06:26:19,0
06:31:17,0
06:36:16,0
06:41:15,0
06:46:14,0
06:51:12,0
06:56:11,0
07:01:10,0
07:06:09,0
07:11:07,0
07:16:06,0
07:21:05,0
07:26:04,0
07:31:02,0
07:36:01,0
07:41:00,0
07:45:59,0
07:50:57,0
07:55:56,0
08:00:55,0
08:05:54,0
08:10:52,0
08:15:51,0
08:20:50,0
08:25:49,0
08:30:47,0
08:35:46,0
08:40:45,0
08:45:44,0
08:50:43,0
08:55:41,0
09:00:40,0
09:05:39,0
09:10:38,0
09:15:36,0
09:20:35,0
09:25:34,0
09:30:33,0
09:35:31,0
09:40:30,0
09:45:29,0
09:50:28,0
09:55:26,0
10:00:25,0
10:05:24,0
10:10:23,0
10:15:21,0
10:20:20,0
10:25:19,0
10:30:18,0
10:35:16,0
10:40:15,0
10:45:14,0
10:50:13,0
10:55:11,0
11:00:10,0
11:05:09,0
11:10:08,0
11:15:06,0
11:20:05,0
11:25:04,0
11:30:03,0
11:35:01,0
11:40:00,0
11:44:59,0
11:49:58,0
11:54:56,0
11:59:55,0
12:04:54,0
12:09:53,0
12:14:51,0
12:19:50,0
12:24:49,0
12:29:48,0
12:34:46,0
12:39:45,0
12:44:44,0
12:49:43,0
12:54:41,0
12:59:40,0
13:04:39,0
13:09:38,0
13:14:37,0
13:19:35,0
13:24:34,0
13:29:33,0
13:34:32,0
13:39:30,0
13:44:29,0
13:49:28,0
13:54:27,0
13:59:25,0
14:04:24,0
14:09:23,0
14:14:22,0
14:19:20,0
14:24:19,0
14:29:18,0
14:34:17,0
14:39:15,0
14:44:14,0
14:49:13,0
14:54:12,0
14:59:10,0
15:04:09,0
15:09:08,0
15:14:07,0
15:19:05,0
15:24:04,0
15:29:03,0
15:34:02,0
15:39:00,0
15:43:59,0
15:48:58,0
15:53:57,0
15:58:55,0
16:03:54,0
16:08:53,0
16:13:52,0
16:18:50,0
16:23:49,0
16:28:48,0
16:33:47,0
16:38:45,0
16:43:44,0
16:48:43,0
16:53:42,0
16:58:40,0
17:03:39,0
17:08:38,0
17:13:37,0
17:18:35,0
17:23:34,0
17:28:33,0
17:33:32,0
17:38:31,0
17:43:29,0
17:48:28,0
17:53:27,0
17:58:25,0
18:03:24,0
18:08:23,0
18:13:22,0
18:18:21,0
18:23:19,0
18:28:18,0
18:33:17,0
18:38:16,0
18:43:14,0
18:48:13,0
18:53:12,0
18:58:11,0
19:03:09,0
19:08:08,0
19:13:07,0
19:18:06,0
19:23:04,0
19:28:03,0
19:33:02,0
19:38:01,0
19:42:59,0
19:47:58,0
19:52:57,0
19:57:56,0
20:02:54,0
20:07:53,0
20:12:52,0
20:17:51,0
20:22:49,0
20:27:48,0
20:32:47,0
20:37:46,0
20:42:44,0
20:47:43,0
20:52:42,0
20:57:41,0
21:02:39,0
21:07:38,0
21:12:37,0
21:17:36,0
21:22:34,0
21:27:33,0
21:32:32,0
21:37:31,0
21:42:29,0
21:47:28,0
21:52:27,0
21:57:26,0
22:02:24,0
22:07:23,0
22:12:22,0
22:17:21,0
22:22:19,0
22:27:18,0
22:32:17,0
22:37:16,0
22:42:15,0
22:47:13,0
22:52:12,0
22:57:11,0
23:02:09,0
23:07:08,0
23:12:07,0
23:17:06,0
23:22:05,0
23:27:03,0
23:32:02,0
23:37:01,0
23:42:00,0
23:46:58,0
23:51:57,0
23:56:56,0
